month,period
jan,W1
jan,W2
jan,W3
jan,W4
feb,W5
feb,W6
feb,W7
feb,W8
mar,W9
mar,W10
mar,W11
mar,W12
apr,W13
apr,W14
apr,W15
apr,W16
apr,W17
may,W18
may,W19
may,W20
may,W21
june,W22
june,W23
june,W24
june,W25
july,W26
july,W27
july,W28
july,W29
july,W30
aug,W31
aug,W32
aug,W33
aug,W34
sep,W35
sep,W36
sep,W37
sep,W38
oct,W39
oct,W40
oct,W41
oct,W42
oct,W43
nov,W44
nov,W45
nov,W46
nov,W47
dec,W48
dec,W49
dec,W50
dec,W51
dec,W52
